"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  2.04.0410",46,3.1757,0.419,47.7,7.58,2.3331,4.0184,0,"PI.413153"
"IsolateID  2.04.0810",47,3.4667,0.3894,36.5,8.9,2.6772,4.2561,0,"PI.413153"
"IsolateID  2.04.0910",48,2.5509,0.3894,36.4,6.55,1.7615,3.3403,0,"PI.413153"
"IsolateID  2.04.1110",49,3.2541,0.3894,36.5,8.36,2.4647,4.0435,0,"PI.413153"
"IsolateID  2.04.1210",50,2.5234,0.3896,36.6,6.48,1.7336,3.3132,0,"PI.413153"
"IsolateID  2.04.1410",51,2.4265,0.3899,36.7,6.22,1.6361,3.2168,0,"PI.413153"
"IsolateID  2.04.1710",52,3.3124,0.3893,36.5,8.51,2.5233,4.1016,0,"PI.413153"
"IsolateID  2.04.1810",53,2.8516,0.3896,36.5,7.32,2.0619,3.6412,0,"PI.413153"
"IsolateID  2.04.2010",54,3.2002,0.3895,36.5,8.22,2.4106,3.9897,0,"PI.413153"
"IsolateID  2.04.2110",55,2.0119,0.39,36.8,5.16,1.2214,2.8023,0,"PI.413153"
"IsolateID  200410",56,1.2241,0.3898,36.6,3.14,0.434,2.0142,0.0033,"PI.413153"
"IsolateID  94.110",57,1.9634,0.3895,36.5,5.04,1.1739,2.7529,0,"PI.413153"
"IsolateID  94.410",58,1.3671,0.3897,36.6,3.51,0.5772,2.157,0.0012,"PI.413153"
"IsolateID  Acacia10",59,1.5031,0.3898,36.6,3.86,0.7131,2.2932,4e-04,"PI.413153"
"IsolateID  Apple40410",60,2.2742,0.3894,36.4,5.84,1.4849,3.0636,0,"PI.413153"
"IsolateID  Apple51710",61,2.6235,0.3896,36.5,6.73,1.8338,3.4133,0,"PI.413153"
"IsolateID  Ausubel10",62,1.5791,0.3893,36.4,4.06,0.79,2.3683,3e-04,"PI.413153"
"IsolateID  B05.1010",63,0.9476,0.3895,36.6,2.43,0.1581,1.7372,0.02,"PI.413153"
"IsolateID  BMM10",64,1.9058,0.3895,36.5,4.89,1.1162,2.6954,0,"PI.413153"
"IsolateID  BPA110",65,1.4743,0.3896,36.5,3.78,0.6845,2.2641,6e-04,"PI.413153"
"IsolateID  DavisNavel10",66,0.08,0.3898,36.6,0.21,-0.7101,0.87,0.8386,"PI.413153"
"IsolateID  EsparatoFresa10",67,1.1116,0.39,36.7,2.85,0.3212,1.902,0.0071,"PI.413153"
"IsolateID  Fd110",68,3.8545,0.4195,48,9.19,3.0111,4.6979,0,"PI.413153"
"IsolateID  Fd210",69,1.8305,0.39,36.7,4.69,1.04,2.621,0,"PI.413153"
"IsolateID  Fresa52510",70,2.17,0.4198,48.1,5.17,1.326,3.014,0,"PI.413153"
"IsolateID  FresaSD10",71,1.6652,0.4195,47.9,3.97,0.8217,2.5087,2e-04,"PI.413153"
"IsolateID  Gallo110",72,1.0499,0.3896,36.6,2.7,0.2602,1.8396,0.0106,"PI.413153"
"IsolateID  Gallo210",73,1.7485,0.3895,36.5,4.49,0.9589,2.538,1e-04,"PI.413153"
"IsolateID  Geranium10",74,0.7298,0.4193,47.9,1.74,-0.1134,1.5729,0.0882,"PI.413153"
"IsolateID  Grape10",75,1.5195,0.39,36.7,3.9,0.7291,2.31,4e-04,"PI.413153"
"IsolateID  KatieTomato10",76,2.4002,0.3899,36.7,6.16,1.6099,3.1904,0,"PI.413153"
"IsolateID  KernA210",77,1.3886,0.4199,48.2,3.31,0.5444,2.2328,0.0018,"PI.413153"
"IsolateID  KernB110",78,2.1838,0.3894,36.5,5.61,1.3943,2.9732,0,"PI.413153"
"IsolateID  KernB210",79,2.4761,0.3895,36.5,6.36,1.6866,3.2656,0,"PI.413153"
"IsolateID  KGB210",80,2.5196,0.3894,36.4,6.47,1.7302,3.309,0,"PI.413153"
"IsolateID  MEAP6G10",81,2.2074,0.3893,36.4,5.67,1.4183,2.9966,0,"PI.413153"
"IsolateID  Mex0310",82,1.8648,0.3898,36.6,4.78,1.0748,2.6548,0,"PI.413153"
"IsolateID  Molly10",83,2.5562,0.3895,36.5,6.56,1.7665,3.3458,0,"PI.413153"
"IsolateID  Navel10",84,1.7277,0.4198,48.1,4.12,0.8837,2.5717,2e-04,"PI.413153"
"IsolateID  NobleRot10",85,0.9834,0.3893,36.5,2.53,0.1941,1.7726,0.016,"PI.413153"
"IsolateID  Peachy10",86,2.0368,0.3894,36.4,5.23,1.2475,2.8262,0,"PI.413153"
"IsolateID  Pepper10",87,2.0737,0.3896,36.6,5.32,1.2839,2.8635,0,"PI.413153"
"IsolateID  PepperSub10",88,2.353,0.3895,36.5,6.04,1.5635,3.1425,0,"PI.413153"
"IsolateID  PhiloMenlo10",89,1.7807,0.3905,36.9,4.56,0.9894,2.572,1e-04,"PI.413153"
"IsolateID  Rasp10",90,2.6078,0.3895,36.5,6.7,1.8183,3.3973,0,"PI.413153"
"IsolateID  Rose10",91,0.9692,0.3897,36.6,2.49,0.1793,1.7591,0.0176,"PI.413153"
"IsolateID  Supersteak10",92,2.2721,0.3898,36.6,5.83,1.482,3.0622,0,"PI.413153"
"IsolateID  Triple310",93,2.5415,0.39,36.7,6.52,1.751,3.332,0,"PI.413153"
"IsolateID  Triple710",94,0.6119,0.3896,36.6,1.57,-0.1779,1.4017,0.125,"PI.413153"
"IsolateID  UKRazz10",95,2.7018,0.3898,36.6,6.93,1.9117,3.4919,0,"PI.413153"
"IsolateID  1.01.0111",1,1.8117,0.6526,1.6,2.78,-1.77,5.3933,0.1379,"PI.413153"
"IsolateID  1.01.0211",2,1.8399,0.6526,1.6,2.82,-1.7405,5.4203,0.1349,"PI.413153"
"IsolateID  1.01.0311",3,2.1206,0.6529,1.6,3.25,-1.4537,5.6948,0.1099,"PI.413153"
"IsolateID  1.01.0411",4,1.3754,0.6529,1.6,2.11,-2.1997,4.9505,0.1998,"PI.413153"
"IsolateID  1.01.0611",5,2.0349,0.6527,1.6,3.12,-1.5443,5.6141,0.1168,"PI.413153"
"IsolateID  1.01.1511",6,1.5307,0.6529,1.6,2.34,-2.0445,5.1059,0.1735,"PI.413153"
"IsolateID  1.02.0111",7,1.5025,0.6526,1.6,2.3,-2.0782,5.0833,0.178,"PI.413153"
"IsolateID  1.02.0211",8,1.3717,0.6527,1.6,2.1,-2.2082,4.9515,0.2006,"PI.413153"
"IsolateID  1.02.0311",9,1.821,0.6527,1.6,2.79,-1.7579,5.4,0.1368,"PI.413153"
"IsolateID  1.02.0411",10,1.5972,0.6528,1.6,2.45,-1.9807,5.175,0.164,"PI.413153"
"IsolateID  1.02.0511",11,2.1433,0.6527,1.6,3.28,-1.4366,5.7231,0.1084,"PI.413153"
"IsolateID  1.02.0611",12,1.8334,0.6528,1.6,2.81,-1.7433,5.41,0.1355,"PI.413153"
"IsolateID  1.02.1311",13,0.6612,0.6528,1.6,1.01,-2.9158,4.2383,0.439,"PI.413153"
"IsolateID  1.02.1511",14,1.7856,0.6528,1.6,2.74,-1.7922,5.3633,0.1406,"PI.413153"
"IsolateID  1.02.1611",15,1.0852,0.6527,1.6,1.66,-2.4933,4.6636,0.2673,"PI.413153"
"IsolateID  1.02.1711",16,1.6372,0.6528,1.6,2.51,-1.9388,5.2132,0.1585,"PI.413153"
"IsolateID  1.02.1811",17,0.1249,0.6528,1.6,0.19,-3.4523,3.7021,0.8696,"PI.413153"
"IsolateID  1.02.2011",18,1.4309,0.6527,1.6,2.19,-2.1487,5.0105,0.1899,"PI.413153"
"IsolateID  1.03.0211",19,1.4773,0.6528,1.6,2.26,-2.1006,5.0551,0.182,"PI.413153"
"IsolateID  1.03.0411",20,1.8556,0.6527,1.6,2.84,-1.7244,5.4355,0.1333,"PI.413153"
"IsolateID  1.03.1211",21,1.0916,0.6527,1.6,1.67,-2.4867,4.6698,0.2655,"PI.413153"
"IsolateID  1.03.1611",22,1.5239,0.6528,1.6,2.33,-2.0524,5.1002,0.1746,"PI.413153"
"IsolateID  1.03.1811",23,1.548,0.6526,1.6,2.37,-2.0333,5.1292,0.1711,"PI.413153"
"IsolateID  1.03.1911",24,1.7453,0.6527,1.6,2.67,-1.8336,5.3242,0.1452,"PI.413153"
"IsolateID  1.03.2011",25,0.2133,0.6528,1.6,0.33,-3.3629,3.7895,0.7814,"PI.413153"
"IsolateID  1.03.2211",26,1.5003,0.6526,1.6,2.3,-2.0801,5.0806,0.1784,"PI.413153"
"IsolateID  1.03.2311",27,1.8891,0.6527,1.6,2.89,-1.6909,5.4691,0.1299,"PI.413153"
"IsolateID  1.04.0111",28,1.7032,0.6529,1.6,2.61,-1.8724,5.2787,0.1501,"PI.413153"
"IsolateID  1.04.0211",29,0.941,0.6526,1.6,1.44,-2.6398,4.5219,0.3135,"PI.413153"
"IsolateID  1.04.0311",30,1.6517,0.6527,1.6,2.53,-1.9277,5.231,0.1567,"PI.413153"
"IsolateID  1.04.0411",31,2.0213,0.6526,1.6,3.1,-1.5594,5.6019,0.118,"PI.413153"
"IsolateID  1.04.0511",32,1.4491,0.6527,1.6,2.22,-2.1294,5.0275,0.1867,"PI.413153"
"IsolateID  1.04.1211",33,1.7658,0.6526,1.6,2.71,-1.8155,5.3471,0.1429,"PI.413153"
"IsolateID  1.04.1511",34,0.7709,0.6527,1.6,1.18,-2.8076,4.3494,0.3832,"PI.413153"
"IsolateID  1.04.1711",35,1.0077,0.6527,1.6,1.54,-2.5709,4.5862,0.2909,"PI.413153"
"IsolateID  1.04.1911",36,1.9212,0.6529,1.6,2.94,-1.6541,5.4965,0.1267,"PI.413153"
"IsolateID  1.04.2011",37,0.9754,0.6529,1.6,1.49,-2.5993,4.55,0.3015,"PI.413153"
"IsolateID  1.04.2111",38,0.9855,0.6529,1.6,1.51,-2.5892,4.5603,0.2981,"PI.413153"
"IsolateID  1.04.2511",39,1.3913,0.6527,1.6,2.13,-2.1869,4.9696,0.1969,"PI.413153"
"IsolateID  1.05.1111",40,1.6996,0.6527,1.6,2.6,-1.8806,5.2799,0.1506,"PI.413153"
"IsolateID  1.05.1411",41,2.047,0.6528,1.6,3.14,-1.5297,5.6237,0.1158,"PI.413153"
"IsolateID  1.05.1711",42,1.1787,0.6528,1.6,1.81,-2.3978,4.7551,0.2424,"PI.413153"
"IsolateID  1.05.2211",43,1.4774,0.6526,1.6,2.26,-2.1035,5.0584,0.1821,"PI.413153"
"IsolateID  1.05.2411",44,1.8689,0.6528,1.6,2.86,-1.7083,5.4461,0.1318,"PI.413153"
"IsolateID  2.04.0311",45,1.9918,0.6528,1.6,3.05,-1.5851,5.5688,0.1204,"PI.413153"
"IsolateID  2.04.0411",46,2.2724,0.6526,1.6,3.48,-1.3093,5.8541,0.0995,"PI.413153"
"IsolateID  2.04.0811",47,2.0305,0.6526,1.6,3.11,-1.5499,5.6108,0.1172,"PI.413153"
"IsolateID  2.04.0911",48,1.6422,0.6526,1.6,2.52,-1.9387,5.2231,0.1579,"PI.413153"
"IsolateID  2.04.1111",49,2.1118,0.6526,1.6,3.24,-1.469,5.6925,0.1108,"PI.413153"
"IsolateID  2.04.1211",50,1.7825,0.6527,1.6,2.73,-1.7959,5.3609,0.141,"PI.413153"
"IsolateID  2.04.1411",51,1.8813,0.6528,1.6,2.88,-1.6948,5.4573,0.1306,"PI.413153"
"IsolateID  2.04.1711",52,1.8787,0.6525,1.6,2.88,-1.7045,5.4618,0.131,"PI.413153"
"IsolateID  2.04.1811",53,2.2314,0.6527,1.6,3.42,-1.348,5.8107,0.1022,"PI.413153"
"IsolateID  2.04.2011",54,2.4393,0.6527,1.6,3.74,-1.1401,6.0188,0.0896,"PI.413153"
"IsolateID  2.04.2111",55,1.4432,0.6529,1.6,2.21,-2.1324,5.0188,0.1877,"PI.413153"
"IsolateID  200411",56,1.3293,0.6528,1.6,2.04,-2.2475,4.9061,0.2087,"PI.413153"
"IsolateID  94.111",57,1.4958,0.6527,1.6,2.29,-2.0845,5.0761,0.1791,"PI.413153"
"IsolateID  94.411",58,0.7961,0.6527,1.6,1.22,-2.7822,4.3743,0.3717,"PI.413153"
"IsolateID  Acacia11",59,1.2032,0.6528,1.6,1.84,-2.3735,4.7799,0.2364,"PI.413153"
"IsolateID  Apple40411",60,1.9861,0.6526,1.6,3.04,-1.5953,5.5676,0.121,"PI.413153"
"IsolateID  Apple51711",61,1.5418,0.6527,1.6,2.36,-2.0372,5.1207,0.172,"PI.413153"
"IsolateID  Ausubel11",62,1.3954,0.6526,1.6,2.14,-2.1865,4.9772,0.1962,"PI.413153"
"IsolateID  B05.1011",63,0.2179,0.6527,1.6,0.33,-3.3618,3.7975,0.7769,"PI.413153"
"IsolateID  BMM11",64,1.1491,0.6527,1.6,1.76,-2.4307,4.729,0.2499,"PI.413153"
"IsolateID  BPA111",65,1.8836,0.6527,1.6,2.89,-1.6947,5.4619,0.1304,"PI.413153"
"IsolateID  DavisNavel11",66,0.1922,0.6528,1.6,0.29,-3.385,3.7694,0.802,"PI.413153"
"IsolateID  EsparatoFresa11",67,0.6594,0.6529,1.6,1.01,-2.9159,4.2347,0.4401,"PI.413153"
